Year,Month,Day,Event
1956,10,23,Budapesten kitör a forradalom
1956,10,29,a szuezi válság fegyveres konfliktussá válik
1956,11,04,a szovjet hadsereg inváziót indít a magyar forradalom leverésére
1956,12,07,Larry Bird születése
1957,01,17,bevezetik a lottót Magyarországon
1957,11,03,Lajka a világűrben
1958,01,09,Brusznyai Árpád kivégzése
1958,12,21,Charles de Gaullet választják az Ötödik Köztársaság elnökének
1959,09,15,Nyikita Hruscsov Washingtonba érkezik
1959,10,15,az Antarktisz-szerződés létrejötte
1959,11,18,mozivászonra került a Ben-Hur
1960,10,12,Hruscsov cipője az asztalra kerül
1960,10,29,Muhammad Ali első profi bokszmérkőzése
1960,11,08,John F. Kennedy nyeri az amerikai elnökválasztást
1960,11,14,Ruby Bridges első napja az iskolában New Orleans-ban
1961,12,15,Jeruzsálemben halálra ítélik Adolf Eichmannt
1962,01,03,XXIII. János kiközösíti Fidel Castrot az egyházból
1962,10,14,a kubai rakétaválság kezdete
1962,10,28,lezárul a kubai rakétaválság
1963,11,22,merénylet Kennedy amerikai elnök ellen
1963,11,24,"Jack Ruby, egy dallasi nightclub tulaja lelövi Kennedy gyilkosát"
1964,10,14,Martin Luther King Jr.  béke nobeldíjat kap
1964,10,16,Kína először robbant fel sikeresen atombombát
1964,11,21,az új Erzsébet híd megnyitása Budapesten
1967,01,14,Kállay Miklós miniszterelnök halála
1967,10,08,Che Guevara halála
1967,10,08,Clement Attlee halála
1967,10,10,Mézes Pál születése
1968,01,11,Seress Rezső öngyilkossága
1968,10,31,Johnson elnök elrendeli a bomázások befejezését Vietnámban
1969,09,01,Kadhafi puccsa Líbiában
1969,11,19,"„A nap, amikor Brazília megállt” – Pelé ezredik gólja"
1970,10,10,Fiji elnyeri a függetlenségét Nagy-Britanniától
1971,09,03,Qatar hivatalosan is elnyeri függetlenségét Nagy-Britanniától
1971,09,11,Hruscsov halála
1971,12,30,megjelenik A Gulag szigetvilág első kötete
1972,02,15,Szabó Katalin születése
1972,09,01,Bobby Fischer lesz az első amerikai sakk világbajnok
1972,12,11,az Apollo-17 űrhajósai az utolsók akik jártak a Holdon
1973,01,14,a Miami Dolphins az egyetlen csapat ami egy teljes szezont veretlenül abszolvál
1973,01,23,Richard Nixon bejelenti a háború befejezését Vietnamban
1973,09,02,J.R.R Tolkien halála
1973,10,06,a jóm kippúri háború kezdete
1973,10,17,kirobban az első olajválság
1973,10,20,a Sydney-I Operaház megnyitása
1973,12,28,megjelenik A Gulag szigetvilág első kötete
1975,11,11,Angola kikiáltja függetlenségét Portugáliától
1975,11,20,Francisco Franco halála
1976,09,09,Mao Ce-tung halála
1976,11,02,Jimmy Cartert választják az amerikai elnöknek
1977,09,10,utoljára sújt le a guillotine
1977,12,25,Charlie Chaplin halála
1978,09,17,a Camp David-i egyezmény létrejötte
1978,10,16,II. János Pál lesz az első nem olasz pápa 455 év után
1979,01,07,Pol Pot bukása
1979,01,25,először hal meg egy ember egy robot miatt
1979,11,04,az iráni túszdráma
1979,12,24,a Szovjetunió megszállja Afghanisztánt
1980,01,22,Andrej Szaharov letartóztatása
1980,09,22,az iráni-iraki háború kezdete
1980,11,04,Ronald Reagant választják az USA elnökének
1980,11,12,az amerikai Voyager űrszonda eléri a Szaturnuszt
1980,12,08,John Lennon meggyilkolása
1981,01,08,a Trans-en-Provence-I UFO esete
1982,11,10,Leonid Brezhnev halála
1983,10,23,amerikai és francia csapatokat éri támadás Beirutban
1983,11,06,Will Byers rejtélyes eltűnése
1984,10,26,mozivászonra kerül a Terminátor
1984,11,07,Ronald Reagent újraválasztják az USA elnökének
1984,12,03,a bhopali üzemi katasztrófa
1985,09,01,a Titanic roncsainak megtalálása
1986,01,20,bejelentik a Csalagút megépítését
1986,10,22,Szent-Györgyi Albert halála
1987,12,08,Ronald Reagen és Mikhail Gorbachev aláírja a nukleáris atomfegyverek csökkentését
1988,12,21,Légikatasztrófa Lockerbie felett
1989,11,09,leomlik a berlini fal
1989,12,17,debütál a Simpsons család
1989,12,22,újranyitják a brandenburgi kaput
1990,10,03,Németország újraegyesítése
1990,11,10,"bemutatják a ""Reszkessetek betörők"" c. filmet"
1990,11,22,Margaret Thatcher lemond miniszterelnöki pozíciójáról
1991,12,25,Gorbacsov bejelenti lemondását
1991,01,16,kitör az öbölháború
1991,09,06,a Szovjetunió elismeri a Balti-államok függetlenségét
1991,09,19,"Ötzi, a jégember maradványainak megtalálása"
1991,11,23,Freddie Mercury bejelenti AIDS betegségét a nyilvánosságnak
1993,11,01,az Európai Unió alapítása a maastrichti szerződés alapján
1993,12,02,Pablo Escobar halála
1994,09,22,a Jóbarátok sitcom sorozat első részének vetítése
1995,11,21,a daytoni békeszerződés
1995,11,22,mozivászonra kerül a Toy Story
1996,08,31,Mézes Márton születése
1996,09,07,Tupac Shakur meggyilkolása
1996,11,30,Barbados elnyeri függetlenségét Angliától
1997,09,05,Teréz anya halála
1997,09,06,Diana hercegnő temetése
1997,11,01,mozivászonra kerül a Titanic
1997,12,19,mozivászonra kerül a Titanic
1999,01,01,11 európai ország vezeti be az eurót mint fizetőeszközt
1999,05,09,Mézes Barnabás születése
1999,10,12,Wilt Chamberlain halála
2001,09,05,az első tudományos bizonyíték a fekete lyukak létezésére
2001,09,11,az al-Káida terrortámadása az USA ellen
2001,11,15,a Microsoft kiadja az Xboxot
2001,11,29,George Harrison halála
2003,10,16,Papp László halála
2003,11,17,Arnold Schwarzenegger lesz Californiai kormányzója
2005,09,25,az IRA leteszi a fegyvert
2005,11,22,Angela Merkel lesz Németország első kancellárja
2006,09,04,Steve Irwin halála
2008,11,17,a Twilight c. film premierje
2009,12,16,mozivászonra kerül az Avatar
2010,01,12,300 000 ember hal meg a haiiti-I földrengésben
2011,11,12,Silvio Berlusconi olasz elnök lemond
2011,12,15,véget ér az Iraki háború
2013,12,05,Nelson Mandela halála
2015,09,09,II. Erzsébet angol királynő a leghosszabb ideig uralkodó
2015,10,29,Kína felhagy az egygyermekes irányelvével
2015,11,13,a párizsi terrortámadások
2016,11,08,Donald Trump nyeri az amerikai elnökválasztást
2016,11,25,Fidel Castro halála
2018,11,30,George H. W. Bush halála
2020,11,25,Diego Maradona halála
2022,12,29,Pelé halála
2023,10,28,Matthew Perry halála
2024,11,05,Donald Trump nyeri az amerikai elnökválasztást
2024,12,29,Jimmy Carter halála
2025,09,10,Charlie Kirk meggyilkolása
