event;startyear;startmonth;startday;startseason;endyear;endmonth;endday;endseason
A Kommunista Ifjusági Szövetség (KISZ) létrehozása;1957;03;;;;;;
Tömeges, válogatás nélküli megtorlóakciók, letartóztatási hullámok;1957;04;;;;;;
Nagy Imre, Maléter Pál és Gyimes Miklós kivégzése;1958;06;16;;;;;
A parasztság termelőszövetkezetekbe kényszerítése lezárult;1961;03;;;;;;
Az  ’56-os forradalomban való szerepvállalásért kirótt utolsó halálos ítéletek;1961;08;;;;;;
Részleges amnesztiát kapnak a politikai foglyok;1963;03;;;;;;
A GYES bevezetése;1967;;;;;;;
Az új gazdasági mechanizmus bevezetése;1968;01;01;;;;;
A pártállam korlátozottan engedélyezni kezdi az állampolgárok külföldre utazását;1972;;;;;;;
Az úgynevezett demokratikus ellenzék Beszélő címmel folyóiratot indít;1981;;;;;;;
Monori találkozó;1985;;;;;;;
Megalakul az MDF (Magyar Demokrata Fórum) a lakiteleki találkozón;1987;09;;;;;;
Megalakul az SZDSZ (Szabad Demokraták Szövetsége) és a FIDESZ (Fiatal Demokraták Szövetsége);1988;;;;;;;
Grósz Károly kerül Kádár János helyett az MSZMP élére;1988;05;;;;;;
Németh Miklós lesz a miniszterelnök;1988;11;;;;;;
Pozsgay Imre az MSZMP politikusai közül elsőként népfelkelésnek titulálja 56'-ot;1989;01;;;;;;
Újra a hatalom beavatkozása nélkül lehet ünnepelni március 15-ét;1989;03;15;;;;;
A számottevőbb ellenzéki szervezetek és pártok az Ellenzéki Kerekasztalba (EKA) tömörülnek;1989;03;22;;;;;
Nagy Imre és társainak újratemetése;1989;06;16;;;;;
 Szűrös Mátyás, az Országgyűlés elnöke kikiáltja a Magyar Köztársaságot;1989;10;23;;;;;
Megtartják az első szabad választásokat;1990;;;;;;;
A Bokros-csomag;1995;;;;;;;
